# in Mpc/h Units 
# k P_nu(k) Nmodes
# a= 1
# nk = 757
3.69182 6.90789e-07 459098
3.71639 6.65106e-07 463380
3.7411 6.39672e-07 476138
3.76602 6.17231e-07 484322
3.7911 5.93892e-07 495738
3.81637 5.709e-07 504266
3.8418 5.50972e-07 515696
3.8673 5.31377e-07 520974
3.89298 5.10993e-07 536882
3.91895 4.91622e-07 546818
3.94503 4.72397e-07 556178
3.97125 4.56132e-07 567672
3.99772 4.3779e-07 582314
4.02443 4.22679e-07 593138
4.05121 4.07823e-07 600920
4.07809 3.92866e-07 614274
4.10526 3.77629e-07 630050
4.13259 3.6466e-07 638678
4.16008 3.50334e-07 653984
4.18785 3.38012e-07 669618
4.21573 3.2464e-07 676922
4.24371 3.13416e-07 692552
4.27197 3.0113e-07 709178
4.30044 2.89131e-07 721416
4.32905 2.78889e-07 735698
4.35788 2.67904e-07 752546
4.38688 2.58507e-07 763760
4.41605 2.48747e-07 782498
4.44546 2.39828e-07 797178
4.47509 2.29893e-07 814976
4.50493 2.21727e-07 831266
4.53494 2.13187e-07 845696
4.56506 2.05832e-07 860234
4.59545 1.98875e-07 883928
4.62609 1.91095e-07 898338
4.65691 1.83635e-07 917576
4.68789 1.76949e-07 933194
4.71906 1.70409e-07 952736
4.75048 1.63752e-07 974522
4.78209 1.57867e-07 990032
4.8139 1.51849e-07 1013438
4.84595 1.46115e-07 1031168
4.87821 1.40581e-07 1055610
4.91071 1.35345e-07 1074440
4.94338 1.30645e-07 1095146
4.97629 1.2551e-07 1119584
5.00945 1.20937e-07 1141922
5.04276 1.16037e-07 1160216
5.07626 1.11588e-07 1185992
5.1101 1.07733e-07 1215422
5.14418 1.0349e-07 1235072
5.1784 9.9911e-08 1259024
5.21287 9.59607e-08 1286210
5.24757 9.22695e-08 1310960
5.2825 8.90552e-08 1338056
5.31768 8.55539e-08 1364966
5.35308 8.24514e-08 1391768
5.38871 7.91999e-08 1420448
5.42459 7.61518e-08 1448858
5.46071 7.3305e-08 1477952
5.49705 7.05503e-08 1506308
5.53363 6.78148e-08 1538144
5.57046 6.52026e-08 1567562
5.60749 6.27549e-08 1596704
5.64482 6.03217e-08 1635572
5.68244 5.82427e-08 1666520
5.72029 5.6081e-08 1699304
5.7584 5.38152e-08 1734278
5.79671 5.17738e-08 1764392
5.83528 4.97892e-08 1804904
5.87416 4.7892e-08 1841024
5.91325 4.60454e-08 1873820
5.95258 4.43737e-08 1913600
5.99221 4.26455e-08 1952864
6.03213 4.10576e-08 1994966
6.07232 3.95322e-08 2032160
6.11272 3.80038e-08 2070124
6.15341 3.65535e-08 2117456
6.1944 3.50964e-08 2156600
6.23563 3.38401e-08 2200316
6.27716 3.25245e-08 2247272
6.31895 3.12721e-08 2287460
6.36099 3.00943e-08 2335424
6.40334 2.89719e-08 2383216
6.44597 2.78081e-08 2430548
6.48883 2.67701e-08 2474288
6.53202 2.57515e-08 2533724
6.57553 2.47462e-08 2578544
6.61931 2.38153e-08 2634154
6.66339 2.28564e-08 2685200
6.70776 2.20232e-08 2740268
6.7524 2.12232e-08 2791568
6.79737 2.04076e-08 2854940
6.84263 1.96139e-08 2904208
6.88816 1.88811e-08 2965964
6.93399 1.81587e-08 3022550
6.98015 1.74494e-08 3089068
7.02663 1.67972e-08 3148604
7.0734 1.61335e-08 3210680
7.12047 1.55159e-08 3275210
7.16789 1.49222e-08 3346312
7.21564 1.43602e-08 3408932
7.26365 1.38e-08 3475196
7.312 1.32651e-08 3550342
7.36069 1.27729e-08 3618788
7.40968 1.22628e-08 3690872
7.459 1.17983e-08 3765538
7.50862 1.13546e-08 3838964
7.5586 1.09074e-08 3920362
7.60894 1.04812e-08 4000832
7.65961 1.0095e-08 4077428
7.7106 9.70412e-09 4160626
7.76192 9.33201e-09 4243208
7.81363 8.97191e-09 4335538
7.86566 8.6272e-09 4413500
7.91801 8.30538e-09 4505450
7.97072 7.98258e-09 4596040
8.02376 7.68104e-09 4684418
8.07717 7.3968e-09 4784836
8.13095 7.11681e-09 4877354
8.18507 6.83922e-09 4975786
8.23956 6.57849e-09 5078756
8.29442 6.33343e-09 5177662
8.34962 6.08429e-09 5280932
8.40521 5.86321e-09 5391274
8.46119 5.64313e-09 5500906
8.51752 5.4332e-09 5604530
8.57417 5.23313e-09 5715700
8.63126 5.03258e-09 5842058
8.68876 4.84646e-09 5955226
8.74657 4.6637e-09 6063770
8.80479 4.48732e-09 6202156
8.86345 4.32569e-09 6320530
8.92244 4.16547e-09 6442874
8.98183 4.00926e-09 6578986
9.04164 3.86657e-09 6707818
9.10181 3.72935e-09 6838082
9.1624 3.59496e-09 6987316
9.22341 3.46671e-09 7117018
9.28477 3.3403e-09 7259306
9.34659 3.22403e-09 7415650
9.40883 3.10654e-09 7558810
9.47148 2.99823e-09 7716338
9.53453 2.89376e-09 7860058
9.59797 2.79285e-09 8022286
9.66188 2.69805e-09 8191498
9.72619 2.60597e-09 8341402
9.79093 2.51843e-09 8524784
9.85612 2.43447e-09 8686018
9.92173 2.35431e-09 8865142
9.98778 2.27843e-09 9040714
10.0543 2.20669e-09 9225754
10.1212 2.13664e-09 9409058
10.1886 2.07261e-09 9599212
10.2564 2.0098e-09 9792874
10.3247 1.9496e-09 9989362
10.3934 1.89378e-09 10185502
10.4626 1.8398e-09 10394392
10.5323 1.78891e-09 10607554
10.6024 1.74087e-09 10813990
10.6729 1.69467e-09 11029240
10.7439 1.64696e-09 11191111
10.8154 1.58756e-09 11185948
10.8874 1.53048e-09 11191384
10.9599 1.47402e-09 11166280
11.0329 1.42257e-09 11162812
11.1063 1.37193e-09 11148064
