# in Mpc/h Units 
# k P_nu(k) Nmodes
# a= 0.867238
# nk = 757
1.05346 0.000290528 10784
1.06036 0.000280739 10584
1.0676 0.000271059 11346
1.07471 0.000264338 11400
1.08175 0.000258707 11016
1.08895 0.000246005 11870
1.09637 0.000243614 12516
1.10369 0.000228618 11880
1.11092 0.000226159 11886
1.1181 0.000219542 13104
1.12573 0.000208099 12764
1.1332 0.000205263 13446
1.14081 0.000196101 13464
1.14829 0.000189277 13398
1.15605 0.000184322 14628
1.16374 0.000183563 14024
1.1717 0.000170744 15054
1.17935 0.000168081 14496
1.18713 0.00016242 15012
1.195 0.000158628 15422
1.20281 0.000154271 15624
1.21088 0.000148379 16146
1.21904 0.0001423 17064
1.22715 0.000139422 16152
1.23533 0.000132555 17510
1.24354 0.000130404 17172
1.25174 0.000127211 17880
1.26013 0.000123522 18030
1.26845 0.000120909 18680
1.27706 0.000114054 19170
1.28545 0.000107881 18720
1.29387 0.000107461 19536
1.3027 0.000103744 20954
1.31143 0.000100712 20328
1.3202 9.80413e-05 20718
1.32891 9.34699e-05 21348
1.33775 9.20405e-05 21534
1.34663 8.96597e-05 22256
1.35548 8.46055e-05 22104
1.3645 8.24511e-05 23178
1.37362 8.04591e-05 23880
1.38289 7.76997e-05 24230
1.39214 7.56253e-05 24468
1.40146 7.40612e-05 25230
1.41076 7.01672e-05 25328
1.42016 6.77921e-05 25818
1.42955 6.4983e-05 26616
1.43897 6.42826e-05 26376
1.44856 6.14794e-05 28034
1.45815 6.00932e-05 27816
1.46783 5.84474e-05 28398
1.47755 5.59098e-05 29652
1.48753 5.3844e-05 30134
1.4975 5.24584e-05 30792
1.50759 5.10346e-05 31218
1.51744 4.93332e-05 30912
1.52762 4.79082e-05 33158
1.53782 4.67287e-05 32772
1.54798 4.49222e-05 33150
1.55817 4.28343e-05 34256
1.56867 4.20423e-05 35562
1.579 4.06014e-05 34992
1.58955 3.92677e-05 37158
1.60018 3.7199e-05 36956
1.61084 3.65221e-05 37950
1.62148 3.54226e-05 38496
1.63242 3.39204e-05 40274
1.64322 3.29475e-05 39264
1.65411 3.1823e-05 41466
1.66512 3.09666e-05 41960
1.67627 2.96218e-05 42702
1.68736 2.87497e-05 43356
1.69863 2.75978e-05 44886
1.70994 2.6783e-05 45248
1.72135 2.59438e-05 46362
1.73279 2.5204e-05 46974
1.74428 2.4024e-05 48236
1.75588 2.35543e-05 48774
1.76756 2.25798e-05 50616
1.77941 2.17177e-05 51050
1.79124 2.10582e-05 52272
1.80325 2.02267e-05 53658
1.81507 1.98034e-05 52640
1.82722 1.91422e-05 57366
1.83948 1.83116e-05 55170
1.85166 1.78732e-05 58544
1.86408 1.70864e-05 58506
1.87633 1.67747e-05 58968
1.88886 1.60419e-05 62366
1.90144 1.53989e-05 61266
1.914 1.4957e-05 63960
1.92679 1.45159e-05 64730
1.93957 1.39344e-05 66360
1.95256 1.35188e-05 67778
1.96563 1.30962e-05 69558
1.97869 1.26752e-05 69660
1.99179 1.22169e-05 71390
2.00509 1.17616e-05 73974
2.01846 1.13954e-05 74196
2.03193 1.09267e-05 76622
2.04528 1.05116e-05 75516
2.05892 1.01089e-05 81510
2.07279 9.76585e-06 80138
2.0865 9.43586e-06 82368
2.10039 9.23879e-06 84098
2.11443 8.89212e-06 86286
2.12845 8.45671e-06 86700
2.14263 8.26729e-06 90014
2.15695 7.99396e-06 90930
2.17119 7.66867e-06 91694
2.18567 7.42254e-06 96228
2.20036 7.15343e-06 97014
2.21494 6.89822e-06 97370
2.22958 6.68373e-06 100656
2.24445 6.4413e-06 102530
2.25936 6.19664e-06 104454
2.27439 6.03434e-06 107196
2.28969 5.77465e-06 110414
2.30493 5.59187e-06 109578
2.32027 5.36892e-06 114974
2.33573 5.18796e-06 114396
2.35122 5.03117e-06 118190
2.3669 4.83621e-06 120498
2.38266 4.65669e-06 122718
2.39847 4.47925e-06 124604
2.41442 4.32218e-06 127950
2.43055 4.15523e-06 130826
2.44673 4.02106e-06 132510
2.4629 3.89051e-06 134180
2.47932 3.75439e-06 140214
2.4959 3.61926e-06 140018
2.51254 3.49469e-06 145650
2.52927 3.34869e-06 145350
2.54604 3.26999e-06 150188
2.56299 3.1167e-06 152214
2.58009 3.01768e-06 157226
2.5973 2.90866e-06 158118
2.61455 2.80688e-06 162338
2.63195 2.69472e-06 165378
2.64948 2.61835e-06 169256
2.66707 2.50622e-06 170682
2.68485 2.42564e-06 177566
2.70286 2.34456e-06 179610
2.72085 2.25036e-06 182690
2.73892 2.17568e-06 185694
2.75712 2.09508e-06 190346
2.77543 2.02212e-06 192852
2.79389 1.94934e-06 198806
2.81251 1.86599e-06 201378
2.83127 1.81224e-06 207446
2.85007 1.74558e-06 207258
2.86897 1.67949e-06 215762
2.88818 1.61614e-06 219702
2.90739 1.56164e-06 221522
2.92669 1.50125e-06 227754
2.94616 1.45231e-06 231710
2.96573 1.39953e-06 235994
2.98548 1.34935e-06 242346
3.00539 1.30057e-06 246704
3.02539 1.25319e-06 250410
3.04557 1.21132e-06 258410
3.06592 1.16119e-06 261414
3.0863 1.11823e-06 265874
3.10684 1.07917e-06 273450
3.12756 1.04002e-06 276974
3.1484 1.00142e-06 284402
3.16935 9.62138e-07 287754
3.19042 9.33103e-07 295010
3.21172 8.94392e-07 302142
3.2331 8.58045e-07 304946
3.25451 8.31287e-07 311642
3.27615 7.99789e-07 319326
3.2979 7.70132e-07 323618
3.31984 7.42632e-07 333744
3.34198 7.17257e-07 337970
3.3643 6.87896e-07 348758
3.38673 6.64352e-07 350346
3.40918 6.38783e-07 358778
3.43196 6.14392e-07 370578
3.45493 5.9286e-07 374258
3.47788 5.689e-07 380558
3.50098 5.48712e-07 388434
3.52428 5.27369e-07 398522
3.54776 5.078e-07 404042
3.5713 4.88772e-07 412164
3.59506 4.74537e-07 422258
3.61902 4.55479e-07 430754
3.64313 4.37951e-07 438906
3.66736 4.23486e-07 446738
3.69182 4.06437e-07 459098
3.71639 3.92416e-07 463380
3.7411 3.76017e-07 476138
3.76602 3.6283e-07 484322
3.7911 3.50114e-07 495738
3.81637 3.38144e-07 504266
3.8418 3.25309e-07 515696
3.8673 3.11393e-07 520974
3.89298 3.01009e-07 536882
3.91895 2.88989e-07 546818
3.94503 2.79125e-07 556178
3.97125 2.68027e-07 567672
3.99772 2.58506e-07 582314
4.02443 2.48649e-07 593138
4.05121 2.39401e-07 600920
4.07809 2.30864e-07 614274
4.10526 2.21456e-07 630050
4.13259 2.13841e-07 638678
4.16008 2.05412e-07 653984
4.18785 1.97955e-07 669618
4.21573 1.90889e-07 676922
4.24371 1.82886e-07 692552
4.27197 1.76083e-07 709178
4.30044 1.69479e-07 721416
4.32905 1.63479e-07 735698
