#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.450590E-02   0.231826E+07   0.231600E+07   0.688497E+05   0.706014E+05   0.183527E+07   0.230318E+07   0.231788E+07   0.230330E+07  -0.542635E+00   0.230189E+07   0.230176E+07   0.169739E+02
   0.455624E-02   0.231479E+07   0.231249E+07   0.686022E+05   0.701002E+05   0.182627E+07   0.229953E+07   0.231440E+07   0.229965E+07  -0.541773E+00   0.229829E+07   0.229816E+07   0.171197E+02
   0.460715E-02   0.231128E+07   0.230892E+07   0.683926E+05   0.696013E+05   0.181723E+07   0.229584E+07   0.231088E+07   0.229596E+07  -0.540902E+00   0.229465E+07   0.229451E+07   0.172666E+02
   0.465863E-02   0.230772E+07   0.230532E+07   0.681804E+05   0.690713E+05   0.180815E+07   0.229211E+07   0.230732E+07   0.229223E+07  -0.540020E+00   0.229097E+07   0.229083E+07   0.174147E+02
   0.471068E-02   0.230413E+07   0.230167E+07   0.679262E+05   0.684791E+05   0.179904E+07   0.228834E+07   0.230371E+07   0.228846E+07  -0.539129E+00   0.228725E+07   0.228711E+07   0.175638E+02
   0.476331E-02   0.230049E+07   0.229798E+07   0.675930E+05   0.677970E+05   0.178990E+07   0.228452E+07   0.230006E+07   0.228464E+07  -0.538228E+00   0.228349E+07   0.228334E+07   0.177139E+02
   0.481653E-02   0.229681E+07   0.229424E+07   0.671470E+05   0.670009E+05   0.178072E+07   0.228066E+07   0.229637E+07   0.228078E+07  -0.537317E+00   0.227968E+07   0.227953E+07   0.178652E+02
   0.487035E-02   0.229308E+07   0.229046E+07   0.665588E+05   0.660714E+05   0.177152E+07   0.227676E+07   0.229264E+07   0.227688E+07  -0.536395E+00   0.227583E+07   0.227567E+07   0.180176E+02
   0.492476E-02   0.228931E+07   0.228664E+07   0.658043E+05   0.649948E+05   0.176228E+07   0.227282E+07   0.228886E+07   0.227293E+07  -0.535464E+00   0.227194E+07   0.227178E+07   0.181711E+02
   0.497979E-02   0.228550E+07   0.228277E+07   0.648656E+05   0.637629E+05   0.175301E+07   0.226883E+07   0.228504E+07   0.226894E+07  -0.534522E+00   0.226800E+07   0.226784E+07   0.183258E+02
   0.503543E-02   0.228164E+07   0.227885E+07   0.637314E+05   0.623739E+05   0.174372E+07   0.226480E+07   0.228117E+07   0.226491E+07  -0.533571E+00   0.226402E+07   0.226386E+07   0.184815E+02
   0.509169E-02   0.227774E+07   0.227489E+07   0.623979E+05   0.608322E+05   0.173439E+07   0.226072E+07   0.227726E+07   0.226083E+07  -0.532609E+00   0.226000E+07   0.225983E+07   0.186383E+02
   0.514858E-02   0.227380E+07   0.227089E+07   0.608684E+05   0.591487E+05   0.172504E+07   0.225661E+07   0.227331E+07   0.225671E+07  -0.531637E+00   0.225593E+07   0.225576E+07   0.187963E+02
   0.520610E-02   0.226981E+07   0.226684E+07   0.591543E+05   0.573400E+05   0.171567E+07   0.225244E+07   0.226931E+07   0.225255E+07  -0.530654E+00   0.225182E+07   0.225165E+07   0.189554E+02
