#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.471068E-02   0.465502E+06   0.463403E+06   0.591286E+05   0.604964E+05   0.293260E+06   0.459789E+06   0.465147E+06   0.460307E+06  -0.545370E+00   0.460815E+06   0.460496E+06   0.861344E+02
   0.476331E-02   0.464875E+06   0.462731E+06   0.565023E+05   0.581876E+05   0.290395E+06   0.459085E+06   0.464513E+06   0.459580E+06  -0.544452E+00   0.460132E+06   0.459806E+06   0.869114E+02
   0.481653E-02   0.464239E+06   0.462048E+06   0.540164E+05   0.560081E+05   0.287525E+06   0.458372E+06   0.463869E+06   0.458845E+06  -0.543525E+00   0.459438E+06   0.459106E+06   0.876932E+02
   0.487035E-02   0.463594E+06   0.461355E+06   0.516713E+05   0.539569E+05   0.284653E+06   0.457649E+06   0.463216E+06   0.458102E+06  -0.542588E+00   0.458735E+06   0.458396E+06   0.884800E+02
   0.492476E-02   0.462939E+06   0.460652E+06   0.494669E+05   0.520327E+05   0.281779E+06   0.456917E+06   0.462553E+06   0.457350E+06  -0.541642E+00   0.458022E+06   0.457676E+06   0.892717E+02
   0.497979E-02   0.462275E+06   0.459938E+06   0.474026E+05   0.502336E+05   0.278904E+06   0.456176E+06   0.461880E+06   0.456591E+06  -0.540687E+00   0.457298E+06   0.456946E+06   0.900685E+02
   0.503543E-02   0.461601E+06   0.459214E+06   0.454775E+05   0.485575E+05   0.276031E+06   0.455425E+06   0.461198E+06   0.455824E+06  -0.539722E+00   0.456565E+06   0.456205E+06   0.908702E+02
   0.509169E-02   0.460918E+06   0.458478E+06   0.436904E+05   0.470018E+05   0.273159E+06   0.454665E+06   0.460505E+06   0.455048E+06  -0.538747E+00   0.455822E+06   0.455455E+06   0.916769E+02
   0.514858E-02   0.460225E+06   0.457733E+06   0.420396E+05   0.455637E+05   0.270290E+06   0.453896E+06   0.459803E+06   0.454264E+06  -0.537763E+00   0.455068E+06   0.454694E+06   0.924887E+02
   0.520610E-02   0.459522E+06   0.456976E+06   0.405227E+05   0.442397E+05   0.267426E+06   0.453117E+06   0.459091E+06   0.453471E+06  -0.536770E+00   0.454305E+06   0.453923E+06   0.933055E+02
   0.526427E-02   0.458809E+06   0.456208E+06   0.391373E+05   0.430263E+05   0.264568E+06   0.452328E+06   0.458369E+06   0.452671E+06  -0.535767E+00   0.453531E+06   0.453141E+06   0.941274E+02
   0.532309E-02   0.458087E+06   0.455430E+06   0.378802E+05   0.419191E+05   0.261717E+06   0.451530E+06   0.457637E+06   0.451862E+06  -0.534756E+00   0.452747E+06   0.452350E+06   0.949544E+02
   0.538256E-02   0.457354E+06   0.454640E+06   0.367481E+05   0.409139E+05   0.258874E+06   0.450723E+06   0.456895E+06   0.451044E+06  -0.533734E+00   0.451953E+06   0.451548E+06   0.957866E+02
   0.544270E-02   0.456612E+06   0.453840E+06   0.357368E+05   0.400057E+05   0.256040E+06   0.449906E+06   0.456143E+06   0.450218E+06  -0.532704E+00   0.451149E+06   0.450736E+06   0.966238E+02
